MAKE, MODEL, VARIANT, YEAR FROM, YEAR TO, SYSTEM NUMBER, TYPE OF SYSTEM, ADDITIONAL, TIP STYLE, PIPE Ø (MM), PIPE Ø (INCHES), EC-APPROVED?, RACE SYSTEM, VALVESONIC, FITTING TIME, SHIPPING DATA, GTIN, PRICE (EXC VAT), PRICE (INC VAT)
Alfa Romeo, Giulia, 2.0T Veloce (Non Q4 Models & Non OPF/GPF Models),2017,2026, SSXAR17, Cat-back, Cat Back Non Res / Non-Valved, ,"76,2",3, No, No, No, 2.00 to 2.50 hours, Ships in 1 box measuring 120X 74 X28  and weighing 24kg.,5056214717239,1146,"1375,32"
Alfa Romeo, Giulia, 2.0T Veloce (Non Q4 Models & Non OPF/GPF Models),2017,2026, SSXAR18, Cat-back, Cat Back Non Res / Valved (Includes Valve Controller with Remote), ,"76,2",3, No, No, No, 2.00 to 2.50 hours, Ships in 1 box measuring 120X 74 X28  and weighing 24kg.,5056214717246,1590,"1908,19"
Alfa Romeo, Giulia, 2.0T Veloce (Non Q4 Models & Non OPF/GPF Models),2017,2026, SSXAR19, Cat-back, Cat Back Non-Valved, ,"76,2",3, No, No, No, 2.00 to 2.50 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 24kg.,5056214718144,1277,"1532,09"
Alfa Romeo, Giulia, 2.0T Veloce (Non Q4 Models & Non OPF/GPF Models),2017,2026, SSXAR20, Cat-back, Cat Back Valved (Includes Valve Controller with Remote), ,"76,2",3, No, No, No, 2.00 to 2.50 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 24kg.,5056214718151,1721,"2064,96"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR11, Active Valve Control, Operates via driver select modes, , N/A, N/A, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 40 X 40 X 10  and weighing 1kg.,5056214716140,524,"628,94"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR15, Front Pipe-back, EC Approved - Valved with GT-100 Burnt Titanium Trims, Quad 100mm GT100 ,70,"2,76", Yes, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 130 X 40 X 30  at 20kg. Box 2: 97 X 87 X 28 at 14kg.,5056214716829,2707,"3248,39"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR13, Front Pipe-back, EC Approved - Valved with GT-100 Cerakote Trims, Quad 100mm GT100 ,70,"2,76", Yes, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 130 X 40 X 30  at 20kg. Box 2: 97 X 87 X 28 at 14kg.,5056214716805,2153,"2583,32"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR12, Front Pipe-back, EC Approved - Valved with GT-100 Polished Trims, Quad 100mm GT100 ,70,"2,76", Yes, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 130 X 40 X 30  at 20kg. Box 2: 97 X 87 X 28 at 14kg.,5056214716799,2153,"2583,32"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR14, Front Pipe-back, EC Approved - Valved with GT-100 Titanium Trims, Quad 100mm GT100 ,70,"2,76", Yes, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 130 X 40 X 30  at 20kg. Box 2: 97 X 87 X 28 at 14kg.,5056214716812,2425,"2910,56"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR16, Front Pipe-back, EC Approved - Valved with Jet-100 Carbon Trims, 102 Jet ,70,"2,76", Yes, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 130 X 40 X 30  at 20kg. Box 2: 97 X 87 X 28 at 14kg.,5056214716836,2379,"2855,1"
