Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Status,custom.make,custom.model,custom.variant,custom.typeOfSystem,custom.yearFrom,custom.yearTo
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,Układ wydechowy Milltek Cat-back dla Seat Ateca  2019 - 2026,"<p>Milltek Cat Back Exhaust Seat Ateca Cupra 300 4Drive (GPF/OPF Models Only NON MQB EVO 4) Inc Facelift Models 19-25</p><p>Our range of exhaust systems are perfectly suited to cater for anyone looking to improve their sound and aesthetics, designed as a direct replacement for the original system, available in multiple configurations enabling the owner to choose the increase in volume of their exhaust and/or add a more suitably aggressive tone. All our products are made from 304L Aircraft Grade stainless steel. This quality material will ensure that your Cat-Back system will last through any harsh conditions.</p><br><br><div class=""variant-table-cleaned""><table style=""width:100%; border-collapse:collapse; font-family:Arial, sans-serif;"">
 <tbody>
  <tr>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Specification</th>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Value</th>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Pipe Size</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">76.2mm</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Fitting Time</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">1.50 to 2.00 hours</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Tip Style</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Quad 100mm GT100</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Type</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cat-back</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Make</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Seat</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Model</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Ateca</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Variant</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cupra 300 4Drive (GPF/OPF Models Only - NON MQB EVO 4) - Inc Facelift Models</td>
  </tr>
 </tbody>
</table></div>",Milltek,Pojazdy i części > Akcesoria i części do pojazdów > Części do pojazdów silnikowych > Elementy układu wydechowego,Układ wydechowy,"Milltek, Układ wydechowy, Seat, Ateca, Cat-back",TRUE,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,GT-100 palony tytan,,,SSXSE226,0.0,0,"16056,13",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE226_1_95721f18-1b37-437f-91e5-e9d91b2f9a1a.jpg?v=1734098542,1,FALSE,active,Seat,Ateca,,Cat-back,2019,2026
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,JET-100 karbon,,,SSXSE227,0.0,0,"13756,90",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE227_1_1e0ebc7a-f15c-4cce-8946-153657b0a9b1.jpg?v=1734098542,2,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,GT-100 Tytan,,,SSXSE220,0.0,0,"13129,84",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE220_1_c3f6513e-0f84-46d1-a31b-868ef486c821.jpg?v=1734098542,3,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,GT-100 Polerowany,,,SSXSE223,0.0,0,"12167,24",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE223_1_fa25bf33-8a83-48b5-a3de-255b6aee75bc.jpg?v=1734098542,4,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,GT-100 Polerowany,,,SSXSE218,0.0,0,"11215,64",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE218_1_f4bee31f-da25-473a-bf03-24e761e4f339.jpg?v=1734098542,5,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,GT-100 palony tytan,,,SSXSE221,0.0,0,"15104,54",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE221_1_f5b24626-3d50-4132-aed1-c65c062d8728.jpg?v=1734098542,6,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,GT-100 Cerakote Czarny,,,SSXSE224,0.0,0,"12167,24",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE224_1_e4bcc8fa-8347-4498-b2ca-6402bcd290fa.jpg?v=1734098542,7,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,GT-100 Cerakote Czarny,,,SSXSE219,0.0,0,"11215,64",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE219_1_6e3a5d5d-bd89-45a3-b8dd-b176121d0ee8.jpg?v=1734098542,8,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,JET-100 karbon,,,SSXSE222,0.0,0,"12805,30",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE222_1_bb2ea79e-1041-4c7a-831c-3ca942d49ff9.jpg?v=1734098542,9,,,,,,,,
milltek-seat-ateca-cupra-300-4drive-gpf-opf-models-only-inc-facelift-models-2019-2023-cat-back-exhaust,,,,,,,,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,GT-100 Tytan,,,SSXSE225,0.0,0,"14081,43",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE225_1_f881335a-f624-486e-ad90-4f00c1872c10.jpg?v=1734098542,10,,,,,,,,
